feature_id,feature_name,category,formula,lookback,required_columns,optional_columns,causal_safe,usable_from_rule,purpose,candidate_frameworks,selected_framework_feature,regime_related,prediction_related,lookahead_risk,implementation_status,priority
F001,EMA9,trend,"EMA(close,9); alpha=2/10; seed=SMA(close,9)",9,close,,true,next_bar,"direction (fast EMA) for trend alignment",TREND_STRENGTH_ADX_EMA_SPEC,true,true,true,low,spec_only,high
F002,EMA21,trend,"EMA(close,21); alpha=2/22; seed=SMA(close,21)",21,close,,true,next_bar,"direction (mid EMA) for trend alignment",TREND_STRENGTH_ADX_EMA_SPEC,true,true,true,low,spec_only,high
F003,EMA55,trend,"EMA(close,55); alpha=2/56; seed=SMA(close,55)",55,close,,true,next_bar,"direction (slow EMA) for trend alignment",TREND_STRENGTH_ADX_EMA_SPEC,true,true,true,low,spec_only,high
F004,ema_alignment_state,trend,"up if EMA9>EMA21>EMA55; down if EMA9<EMA21<EMA55; else mixed",55,close,,true,next_bar,"direction classification for strong_up/strong_down/transition",TREND_STRENGTH_ADX_EMA_SPEC,true,true,true,low,spec_only,high
F005,ADX14,trend,"WilderRMA(DX,14); DX=100*|+DI-(-DI)|/(+DI+(-DI)); DI from WilderRMA of +DM/-DM over TR",14,"high,low,close",,true,next_bar,"trend-strength gate (>=25 trend present)",TREND_STRENGTH_ADX_EMA_SPEC,true,true,true,low,spec_only,high
F006,ATR14,volatility,"WilderRMA(TR,14); TR=max(H-L,|H-Cprev|,|L-Cprev|)",14,"high,low,close",,true,next_bar,"basis of volatility_score; volatility magnitude",TREND_STRENGTH_ADX_EMA_SPEC,true,true,true,low,spec_only,high
F007,volatility_score,volatility,"trailing percentile rank of ATR14 over causal window W=2016 (min 288); high if >=P70",2016,"high,low,close",,true,next_bar,"volatile vs range split for ADX<25 bucket",TREND_STRENGTH_ADX_EMA_SPEC,true,true,true,medium,spec_only,high
F010,plus_DI14,trend,"100*WilderRMA(+DM,14)/ATR14",14,"high,low,close",,true,next_bar,"direction variant (DMI); not used as classifier input",TREND_STRENGTH_ADX_DMI_DIR,false,true,true,low,spec_only,low
F011,minus_DI14,trend,"100*WilderRMA(-DM,14)/ATR14",14,"high,low,close",,true,next_bar,"direction variant (DMI); not used as classifier input",TREND_STRENGTH_ADX_DMI_DIR,false,true,true,low,spec_only,low
F012,ema55_slope,trend,"(EMA55[t]-EMA55[t-5])/5 (backward finite diff)",60,close,,true,next_bar,"trend slope for EMA-only variant survey",TREND_STRENGTH_EMA_ONLY_SLOPE,false,true,true,low,spec_only,low
F013,ema_spread,trend,"(EMA9-EMA55)/ATR14 (normalized separation)",55,"high,low,close",,true,next_bar,"alignment-strength input to regime_confidence",TREND_STRENGTH_ADX_EMA_SPEC,false,true,true,low,spec_only,medium
F020,atr_pct_of_price,volatility,"ATR14/close",14,"high,low,close",,true,next_bar,"alternative theory-fixed volatility normalization (survey)",vol_01_atr_percentile,false,true,true,low,spec_only,low
F021,bb_width,volatility,"(SMA20+2*STD20 - (SMA20-2*STD20))/SMA20*100",20,close,,true,next_bar,"Bollinger BandWidth volatility (survey)",vol_02_bbw_squeeze,false,true,true,medium,spec_only,low
F022,realized_vol_parkinson,volatility,"sqrt(1/(4N ln2) * sum(ln(H/L)^2))",20,"high,low",,true,next_bar,"range-based RV estimator (survey; degrades at 5m)",vol_03_realized_vol_percentile,false,true,true,medium,spec_only,low
F023,ttm_squeeze_on,volatility,"BB(20,2) fully inside Keltner(EMA20,1.5*ATR20)",20,"high,low,close",,true,next_bar,"no-fit compression flag (survey; alt split impl.)",vol_04_ttm_squeeze_composite,false,true,true,low,spec_only,low
F030,swing_high_confirmed,price_action,"rolling local max of high confirmed after k_right lower-high bars",k_left+k_right,"high,low",,true,confirm_bar_plus_1,"Dow structure pivot (survey; pivot-lag)",PA_MS_001_dow_structure,false,true,true,high,spec_only,low
F031,swing_low_confirmed,price_action,"rolling local min of low confirmed after k_right higher-low bars",k_left+k_right,"high,low",,true,confirm_bar_plus_1,"Dow structure pivot (survey; pivot-lag)",PA_MS_001_dow_structure,false,true,true,high,spec_only,low
F032,bos_choch_flag,price_action,"close breaks prior confirmed swing (BoS/ChoCH)",variable,"high,low,close",,true,confirm_bar_plus_1,"market-structure event (survey; ref impl look-ahead)",PA_MS_002_bos_choch,false,true,true,high,spec_only,low
F040,log_return,statistical,"ln(close[t]/close[t-1])",1,close,,true,next_bar,"input to statistical/latent-state models (survey)",stat_hmrs_hamilton;stat_hmm_gaussian;stat_gmm_regime,false,true,true,low,spec_only,low
F041,rolling_realized_vol,statistical,"std(log_return, 20)",20,close,,true,next_bar,"vol feature for HMM/GMM/clustering (survey)",stat_hmm_gaussian;stat_gmm_regime;stat_vol_clustering,false,true,true,medium,spec_only,low
F042,hmm_filtered_state,statistical,"forward-filter P(state|bars<=t) from train-only-fit HMM",train_window,close,,true,next_bar,"latent state (survey; train-fit, NON-causal if smoothed/Viterbi)",stat_hmm_gaussian,false,true,true,high,not_feasible_no_data,low
F050,rsi14,momentum,"Wilder RSI(close,14)",14,close,,true,next_bar,"momentum (survey; not used)",momentum_survey,false,true,true,low,spec_only,low
F051,macd_hist,momentum,"MACD(12,26,9) histogram",35,close,,true,next_bar,"momentum (survey; not used)",momentum_survey,false,true,true,low,spec_only,low
F060,bb_zscore,mean_reversion,"(close-SMA20)/STD20",20,close,,true,next_bar,"mean-reversion (survey; not used)",mean_reversion_survey,false,true,true,low,spec_only,low
F070,volume_zscore,volume,"(volume-mean(volume,N))/std(volume,N), N=96",96,volume,,true,next_bar,"liquidity confidence (survey; data absent this run)",SL_03_volume_microstructure,false,true,true,low,blocked_no_volume,low
F071,amihud_illiq,volume,"|log_return|/volume",1,"close,volume",,true,next_bar,"illiquidity proxy (survey; data absent this run)",SL_03_volume_microstructure,false,true,true,medium,blocked_no_volume,low
F080,hour_of_day,time,"UTC hour from timestamp (0-23)",0,timestamp,,true,current_bar,"session annotation (survey; not a price regime)",SL_01_session_window,false,false,true,none,spec_only,low
F081,day_of_week,time,"UTC weekday from timestamp (0-6)",0,timestamp,,true,current_bar,"weekday/weekend annotation (survey)",SL_01_session_window,false,false,true,none,spec_only,low
F082,minutes_to_funding,time,"minutes to next 00/08/16 UTC funding settlement",0,timestamp,,true,current_bar,"funding-proximity no-trade filter (survey)",SL_02_funding_proximity,false,false,true,none,spec_only,low
F090,funding_rate,microstructure,"Binance funding rate (per 8h)",1,,funding_rate,true,next_funding,"funding regime annotation (optional data absent)",SL_02_funding_proximity,false,false,true,medium,blocked_no_data,low
F091,open_interest_change,microstructure,"OI[t]-OI[t-1]",1,,open_interest,true,next_bar,"leverage-state annotation (optional data absent)",SL_03_volume_microstructure,false,false,true,medium,blocked_no_data,low
